time	V(adc_out)
0.000000000000000e+00	1.650000e+00
9.765625114122045e-11	1.650000e+00
1.953125022824409e-10	1.650000e+00
3.906250045648818e-10	1.650000e+00
7.812500091297636e-10	1.650000e+00
1.562500018259527e-09	1.650001e+00
3.125000036519054e-09	1.650005e+00
6.250000073038109e-09	1.650019e+00
1.250000014607622e-08	1.650070e+00
2.500000029215244e-08	1.650227e+00
5.000000058430487e-08	1.650643e+00
1.000000011686097e-07	1.651572e+00
2.000000023372195e-07	1.653451e+00
4.000000046744390e-07	1.657202e+00
8.000000093488779e-07	1.664708e+00
1.600000018697756e-06	1.679714e+00
3.200000037395512e-06	1.709703e+00
6.400000074791024e-06	1.769481e+00
1.280000014958205e-05	1.887495e+00
2.256562514958205e-05	2.060283e+00
3.233125014958205e-05	2.219131e+00
4.209687514958205e-05	2.358665e+00
5.186250014958205e-05	2.474176e+00
6.162812514958205e-05	2.561756e+00
7.139375014958204e-05	2.618451e+00
8.115937514958204e-05	2.642340e+00
8.752493111102979e-05	2.639823e+00
9.515585040266992e-05	2.618016e+00
1.049214754026699e-04	2.560983e+00
1.146871004026699e-04	2.473086e+00
1.244527254026699e-04	2.357299e+00
1.342183504026699e-04	2.217531e+00
1.439839754026699e-04	2.058509e+00
1.537496004026699e-04	1.885602e+00
1.635152254026700e-04	1.704656e+00
1.732808504026700e-04	1.521781e+00
1.830464754026700e-04	1.343161e+00
1.928121004026700e-04	1.174827e+00
2.025777254026700e-04	1.022470e+00
2.123433504026700e-04	8.912355e-01
2.221089754026700e-04	7.855612e-01
2.318746004026700e-04	7.090129e-01
2.416402254026700e-04	6.641822e-01
2.514058504026700e-04	6.525790e-01
2.572890688829379e-04	6.618428e-01
2.668545300909320e-04	7.026425e-01
2.766201550909320e-04	7.758913e-01
2.863857800909320e-04	8.785930e-01
2.961514050909320e-04	1.007283e+00
3.059170300909320e-04	1.157608e+00
3.156826550909320e-04	1.324494e+00
3.254482800909320e-04	1.502295e+00
3.352139050909321e-04	1.685011e+00
3.449795300909321e-04	1.866462e+00
3.547451550909321e-04	2.040522e+00
3.645107800909321e-04	2.201304e+00
3.742764050909321e-04	2.343382e+00
3.840420300909321e-04	2.461950e+00
3.938076550909321e-04	2.553006e+00
4.035732800909321e-04	2.613468e+00
4.133389050909321e-04	2.641300e+00
4.204284284665963e-04	2.640478e+00
4.277900329751735e-04	2.620895e+00
